,accommodates,bathrooms,bedrooms,beds,price,shared,home,private,Queens,Brooklyn,StatenIsland,Manhattan,Bronx,testTrain,listId
141,2,1,1,1,39.0,0,0,1,0,1,0,0,0,1,32098
142,5,1,2,2,189.0,0,1,0,0,1,0,0,0,1,32571
143,2,1,1,1,35.0,0,0,1,0,0,0,1,0,1,32667
144,2,3,1,1,42.0,0,0,1,0,1,0,0,0,1,32912
145,6,2,3,3,180.0,0,1,0,0,1,0,0,0,1,32954
146,2,1,1,1,58.0,0,0,1,0,1,0,0,0,1,33013
147,2,1,1,2,81.0,0,1,0,0,0,1,0,0,1,33209
148,2,2,1,1,38.0,0,0,1,0,0,0,1,0,1,33760
149,4,1,1,3,134.06414703682876,0,1,0,0,1,0,0,0,0,33862
150,1,1,1,1,37.0,0,0,1,0,0,0,1,0,1,34340
151,2,1,1,1,50.0,0,0,1,0,1,0,0,0,1,34821
152,4,2,2,2,390.0,0,1,0,0,0,0,1,0,1,35148
153,4,1,1,2,180.0,0,1,0,0,0,0,1,0,1,35253
154,2,1,1,1,44.0,0,0,1,1,0,0,0,0,1,35323
155,1,1,1,1,40.0,0,0,1,0,1,0,0,0,1,35484
156,2,1,1,1,180.0,0,1,0,0,0,0,1,0,1,36102
157,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,36103
158,2,1,1,1,60.0,0,0,1,0,0,0,1,0,1,37098
159,5,1,2,3,164.51704616383466,0,1,0,0,1,0,0,0,0,37261
160,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,37282
161,5,1,2,2,120.0,0,1,0,0,0,0,1,0,1,37310
162,5,2,3,3,450.0,0,1,0,0,1,0,0,0,1,37521
163,4,1,1,1,179.0,0,1,0,0,0,0,1,0,1,37884
164,2,1,1,1,45.0,0,0,1,1,0,0,0,0,1,38108
165,2,1,1,1,77.0,0,0,1,0,0,0,1,0,1,38287
166,1,1,1,1,83.58573206854152,0,0,1,0,0,0,1,0,0,38543
167,4,1,1,2,125.0,0,1,0,0,1,0,0,0,1,38878
168,5,1,1,2,45.0,0,0,1,0,0,0,1,0,1,38996
169,4,2,1,1,223.98545290209933,0,1,0,1,0,0,0,0,0,39094
170,1,1,1,1,70.0,0,0,1,0,1,0,0,0,1,39104
171,1,1,1,1,83.58573206854152,0,0,1,0,0,0,1,0,0,39256
172,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,39350
173,1,1,1,1,125.0,0,0,1,0,1,0,0,0,1,39473
174,2,1,0,1,200.0,0,1,0,0,0,0,1,0,1,39520
175,1,1,1,1,65.0,0,0,1,0,0,0,1,0,1,39527
176,2,1,1,1,132.5912158248019,0,1,0,0,1,0,0,0,0,39598
177,3,1,0,1,166.16078124302504,0,1,0,0,0,0,1,0,0,39627
178,2,1,0,1,166.16078124302504,0,1,0,0,0,0,1,0,0,39713
179,5,1,1,6,21.0,0,1,0,1,0,0,0,0,1,40132
180,4,1,2,2,128.76949667814895,0,0,1,1,0,0,0,0,0,40395
181,2,1,1,1,81.0,0,0,1,0,1,0,0,0,1,40436
182,2,1,1,1,180.0,0,1,0,0,0,0,1,0,1,40557
183,5,1,3,3,375.0,0,1,0,0,1,0,0,0,1,40634
184,1,1,1,1,35.0,0,0,1,0,1,0,0,0,1,41424
185,2,1,1,2,118.0,0,1,0,0,0,0,1,0,1,41862
186,2,1,1,1,90.0,0,0,1,0,0,0,1,0,1,41895
187,2,2,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,41988
188,3,1,1,1,200.0,0,1,0,0,0,0,1,0,1,42126
189,3,1,1,2,69.0,0,0,1,0,1,0,0,0,1,42852
190,3,1,1,2,200.0,0,1,0,0,0,0,1,0,1,42969
191,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,43367
192,2,1,0,1,79.0,0,1,0,0,0,0,1,0,1,43439
193,2,1,1,1,125.0,0,0,1,0,0,0,1,0,1,44134
194,2,1,1,1,49.0,0,0,1,0,0,0,1,0,1,44342
195,1,1,0,1,55.0,0,1,0,0,0,0,0,1,1,44901
196,2,1,1,1,250.0,0,0,1,0,1,0,0,0,1,45166
197,3,1,0,1,106.5652628143028,0,1,0,1,0,0,0,0,0,45298
198,4,1,1,2,200.0,0,1,0,0,1,0,0,0,1,45410
199,2,1,1,1,58.0,0,0,1,0,0,0,1,0,1,45726
200,12,2,4,9,338.7787449612021,0,1,0,0,1,0,0,0,0,46044
201,2,1,1,1,45.0,0,0,1,0,1,0,0,0,1,46424
202,2,1,1,1,59.0,0,0,1,0,1,0,0,0,1,47492
203,6,1,2,3,450.0,0,1,0,0,0,0,1,0,1,47928
204,2,1,3,1,125.0,0,0,1,1,0,0,0,0,1,48280
205,1,2,1,1,43.04044018062371,1,0,0,0,1,0,0,0,0,48603
206,2,1,1,1,60.0,0,0,1,0,0,0,1,0,1,48763
207,2,1,2,2,156.7676537532805,0,1,0,0,1,0,0,0,0,65
208,1,1,1,1,160.0,0,1,0,0,0,0,1,0,1,191
209,6,1,2,4,295.0,0,1,0,0,0,0,1,0,1,418
210,2,1,2,1,156.7676537532805,0,1,0,0,1,0,0,0,0,541
211,2,1,1,1,65.0,0,0,1,0,0,0,1,0,1,558
212,3,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,1010
213,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,1224
214,1,1,1,1,50.0,0,0,1,0,1,0,0,0,1,1258
215,5,1,1,2,250.0,0,1,0,0,0,0,1,0,1,1277
216,4,1,1,2,275.0,0,1,0,0,0,0,1,0,1,1360
217,2,1,1,1,66.63207304417206,0,0,1,1,0,0,0,0,0,1840
218,3,1,1,3,175.2062645130777,0,1,0,0,0,0,1,0,0,2173
219,2,1,1,1,129.0,0,1,0,0,0,0,1,0,1,2812
220,2,1,1,1,135.0,0,0,1,0,0,0,1,0,1,2895
221,2,1,1,1,63.428062877612234,1,0,0,1,0,0,0,0,0,2906
222,4,1,1,2,125.0,0,1,0,0,1,0,0,0,1,2941
223,4,1,1,2,155.0,0,1,0,0,0,0,1,0,1,3009
224,6,1,2,2,300.0,0,1,0,0,0,0,1,0,1,3015
225,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,3199
226,4,1,1,1,203.33194871184955,0,1,0,0,0,0,1,0,0,3280
227,2,1,1,1,50.0,0,0,1,0,0,0,1,0,1,3391
228,2,1,1,1,122.0,0,0,1,0,0,0,1,0,1,3800
229,6,1,3,5,250.0,0,1,0,1,0,0,0,0,1,3806
230,9,1,2,2,420.0,0,1,0,0,0,0,1,0,1,4126
231,2,1,1,1,132.5912158248019,0,1,0,0,1,0,0,0,0,4371
232,2,1,1,1,500.0,0,0,1,0,0,0,1,0,1,5241
233,2,0,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,5418
234,1,1,1,1,61.455356004131175,0,0,1,1,0,0,0,0,0,5759
235,3,1,1,2,110.9899523160082,0,1,0,1,0,0,0,0,0,5934
236,2,1,1,1,55.0,0,0,1,0,1,0,0,0,1,6401
237,4,1,0,2,150.0,0,1,0,0,0,0,1,0,1,6424
238,2,1,1,1,150.0,0,0,1,0,1,0,0,0,1,6834
239,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,6892
240,6,1,2,3,249.0,0,1,0,0,0,0,1,0,1,7130
241,2,1,0,1,119.0,0,1,0,0,0,0,1,0,1,7358
242,2,1,0,1,90.0,0,1,0,0,0,0,0,1,1,7436
243,2,1,1,1,80.0,0,0,1,0,0,0,1,0,1,7544
244,2,1,1,1,79.0,0,0,1,0,0,0,1,0,1,7546
245,9,1,2,5,189.0,0,1,0,1,0,0,0,0,1,8092
246,4,1,1,2,169.0,1,0,0,0,0,0,1,0,1,8101
247,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,8209
248,2,2,1,1,65.0,0,0,1,0,1,0,0,0,1,8305
249,4,1,1,2,203.33194871184955,0,1,0,0,0,0,1,0,0,9179
250,2,1,1,2,100.0,0,0,1,1,0,0,0,0,1,9444
251,3,1,1,1,80.0,0,1,0,0,1,0,0,0,1,9618
252,4,1,0,2,190.4150811794127,0,1,0,0,0,0,1,0,0,10237
253,2,1,1,2,73.02068200026709,0,0,1,0,1,0,0,0,0,10636
254,2,1,0,1,185.0,0,1,0,0,0,0,1,0,1,10889
255,6,1,2,3,298.50140180459704,0,1,0,0,0,0,1,0,0,11270
256,2,1,1,2,42.0,0,0,1,0,1,0,0,0,1,11309
257,3,1,1,1,290.0,0,0,1,0,0,0,1,0,1,11495
258,4,1,1,2,300.0,0,1,0,0,0,0,1,0,1,11593
259,2,1,1,1,89.0,0,0,1,0,1,0,0,0,1,11771
260,4,1,2,2,250.0,0,1,0,0,0,0,1,0,1,11860
261,2,1,1,1,57.0,0,0,1,1,0,0,0,0,1,12148
262,1,1,1,1,83.58573206854152,0,0,1,0,0,0,1,0,0,12936
263,4,1,0,2,190.4150811794127,0,1,0,0,0,0,1,0,0,12967
264,5,1,1,4,399.0,0,1,0,0,0,0,1,0,1,13206
265,2,1,1,1,49.0,0,0,1,0,1,0,0,0,1,13240
266,3,1,2,2,156.7676537532805,0,1,0,0,1,0,0,0,0,13299
267,2,2,2,1,200.0,0,1,0,0,0,0,1,0,1,13658
268,3,1,1,2,64.0,0,0,1,0,0,1,0,0,1,14029
269,3,1,2,1,135.0,0,1,0,0,1,0,0,0,1,14259
270,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,14361
271,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,14531
272,2,1,1,1,150.0,0,0,1,0,0,0,1,0,1,14805
273,2,1,1,1,110.0,0,0,1,0,1,0,0,0,1,14832
274,1,1,1,1,40.0,0,0,1,0,1,0,0,0,1,15221
275,1,1,1,1,70.0,1,0,0,1,0,0,0,0,1,15758
276,6,1,3,3,213.8686105800721,0,1,0,0,1,0,0,0,0,15921
277,2,1,1,1,82.0,0,0,1,0,1,0,0,0,1,16441
278,3,1,1,2,180.0,0,1,0,0,0,0,1,0,1,16673
279,2,1,1,1,70.0,0,1,0,0,0,0,1,0,1,16781
280,8,2,3,4,239.0,0,1,0,1,0,0,0,0,1,17370
281,2,1,1,1,66.63207304417206,0,0,1,1,0,0,0,0,0,18026
282,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,18117
283,2,1,1,2,90.0,0,0,1,0,0,0,1,0,1,18404
284,1,1,1,1,99.0,0,0,1,0,0,0,1,0,1,18598
285,2,1,1,1,60.0,1,0,0,0,1,0,0,0,1,19061
286,3,1,1,2,400.0,0,1,0,0,0,0,1,0,1,19115
287,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,19329
288,1,1,1,1,75.0,0,0,1,0,1,0,0,0,1,19838
289,2,1,1,1,125.0,0,0,1,0,0,0,1,0,1,19845
290,1,1,1,1,61.455356004131175,0,0,1,0,1,0,0,0,0,19865
291,1,1,1,1,30.0,0,0,1,0,0,0,1,0,1,19955
292,1,1,1,1,83.58573206854152,0,0,1,0,0,0,1,0,0,20335
293,2,1,1,1,65.0,0,1,0,0,0,0,1,0,1,20638
294,3,1,1,1,76.0,0,1,0,1,0,0,0,0,1,20867
295,4,1,1,3,73.07149076011466,1,0,0,1,0,0,0,0,0,21071
296,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,21787
297,2,1,1,1,94.45711318185766,1,0,0,0,0,0,1,0,0,21856
298,1,1,1,1,61.455356004131175,0,0,1,0,1,0,0,0,0,22102
299,3,1,1,1,150.0,0,1,0,0,1,0,0,0,1,22209
300,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,22916
301,4,1,2,2,185.0,0,1,0,0,0,0,1,0,1,23030
302,3,1,1,2,150.0,0,1,0,0,0,0,1,0,1,23090
303,6,1,3,4,213.8686105800721,0,1,0,0,1,0,0,0,0,23110
304,2,1,1,1,75.0,0,0,1,0,1,0,0,0,1,23124
305,9,1,2,5,375.0,0,1,0,0,0,0,1,0,1,23146
306,2,1,1,1,132.5912158248019,0,1,0,0,1,0,0,0,0,23176
307,2,1,1,1,94.45711318185766,1,0,0,0,0,0,1,0,0,23272
308,2,1,0,1,99.0,0,1,0,0,0,0,1,0,1,23772
309,3,1,1,1,125.0,0,0,1,0,1,0,0,0,1,23870
310,2,1,0,1,150.0,0,1,0,0,1,0,0,0,1,24715
311,2,1,1,1,45.0,0,0,1,0,0,0,1,0,1,24782
312,4,3,1,3,85.0,0,0,1,0,1,0,0,0,1,24880
313,2,1,1,1,110.9899523160082,0,1,0,1,0,0,0,0,0,25055
314,2,1,1,2,250.0,0,1,0,0,0,0,1,0,1,25240
315,2,1,1,1,75.0,0,0,1,0,1,0,0,0,1,25244
316,1,1,1,1,75.0,0,0,1,0,1,0,0,0,1,25562
317,4,1,1,2,160.0,0,1,0,0,0,0,1,0,1,25725
318,2,1,1,1,60.0,0,0,1,0,1,0,0,0,1,25946
319,2,1,1,1,60.0,0,0,1,0,1,0,0,0,1,25999
320,2,1,1,1,43.0,0,0,1,0,1,0,0,0,1,26140
321,2,1,1,1,40.0,0,0,1,1,0,0,0,0,1,26389
322,2,1,1,2,66.63207304417206,0,0,1,1,0,0,0,0,0,27183
323,4,1,1,2,60.0,0,0,1,1,0,0,0,0,1,27254
324,4,1,2,2,95.0,0,1,0,0,1,0,0,0,1,27276
325,5,1,0,2,101.34347597467713,0,1,0,0,0,1,0,0,0,27385
326,2,1,1,1,66.63207304417206,0,0,1,1,0,0,0,0,0,27687
327,2,1,1,1,55.0,0,0,1,1,0,0,0,0,1,27850
328,2,1,1,1,69.0,0,0,1,0,1,0,0,0,1,27910
329,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,28615
330,2,1,1,1,175.0,0,1,0,0,1,0,0,0,1,28720
331,2,1,1,1,66.63207304417206,0,0,1,1,0,0,0,0,0,29299
332,1,1,1,1,50.0,0,0,1,0,0,0,1,0,1,29334
333,4,1,1,2,125.0,0,1,0,0,0,0,1,0,1,29695
334,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,29913
335,2,1,1,1,45.0,0,0,1,0,1,0,0,0,1,30276
336,1,1,1,1,68.0,0,0,1,0,0,0,1,0,1,30308
337,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,31503
338,1,1,1,1,40.0,0,0,1,0,0,0,1,0,1,31545
339,4,1,2,2,150.0,0,1,0,0,1,0,0,0,1,31598
340,7,1,3,3,298.50140180459704,0,1,0,0,0,0,1,0,0,32659
341,2,1,1,2,75.0,0,0,1,0,0,0,1,0,1,33046
342,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,33090
343,2,1,1,1,250.0,0,0,1,0,1,0,0,0,1,33133
344,2,1,1,1,60.0,0,0,1,0,0,0,1,0,1,33600
345,1,1,0,1,58.24442799807868,0,0,1,0,1,0,0,0,0,33831
346,2,1,1,2,515.0,0,0,1,0,0,0,1,0,1,34131
347,2,1,1,1,75.0,0,0,1,0,1,0,0,0,1,34476
348,5,1,2,3,140.0,0,1,0,0,1,0,0,0,1,34825
349,4,1,0,3,270.0,0,1,0,0,1,0,0,0,1,34987
350,4,1,1,1,203.33194871184955,0,1,0,0,0,0,1,0,0,34988
351,1,1,1,1,61.455356004131175,0,0,1,0,1,0,0,0,0,35463
352,3,1,0,2,105.0,0,1,0,0,0,0,1,0,1,35699
353,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,36077
354,4,1,1,2,203.33194871184955,0,1,0,0,0,0,1,0,0,36750
355,3,1,1,3,95.0,0,1,0,0,1,0,0,0,1,36941
356,1,1,1,1,71.0,0,1,0,0,1,0,0,0,1,37122
357,2,1,1,1,75.0,0,0,1,0,1,0,0,0,1,37153
358,4,1,1,3,154.0,0,1,0,0,0,0,1,0,1,37447
359,1,1,1,1,200.0,1,0,0,0,0,0,0,1,1,37894
360,4,1,1,2,203.33194871184955,0,1,0,0,0,0,1,0,0,37907
361,1,1,1,1,42.08272576716712,1,0,0,1,0,0,0,0,0,37917
362,3,1,1,1,70.0,0,0,1,0,1,0,0,0,1,38114
363,2,1,1,1,65.0,0,0,1,0,0,0,1,0,1,38403
364,1,1,1,1,45.0,0,0,1,0,1,0,0,0,1,38407
365,2,1,1,1,145.0,0,1,0,0,0,0,1,0,1,38589
366,2,1,2,2,130.0,0,1,0,0,0,0,1,0,1,38770
367,2,1,2,2,226.7800406886263,0,1,0,0,0,0,1,0,0,39407
368,4,1,3,3,500.0,0,1,0,0,0,0,1,0,1,39447
369,4,1,1,2,203.33194871184955,0,1,0,0,0,0,1,0,0,39513
370,1,2,1,1,30.0,0,0,1,0,1,0,0,0,1,39737
371,2,1,0,1,110.0,0,1,0,0,0,0,1,0,1,39763
372,6,2,3,5,199.0,0,1,0,0,0,0,1,0,1,39764
373,6,1,2,3,160.0,0,1,0,0,0,0,1,0,1,39786
374,5,1,1,4,88.0,0,1,0,1,0,0,0,0,1,39817
375,2,1,1,1,110.9899523160082,0,1,0,1,0,0,0,0,0,40197
376,2,1,0,1,166.16078124302504,0,1,0,0,0,0,1,0,0,40415
377,3,1,1,1,149.0,0,1,0,0,1,0,0,0,1,40481
378,2,1,0,1,125.0,0,0,1,0,0,0,0,1,1,40599
379,2,1,1,1,100.0,0,1,0,0,1,0,0,0,1,40667
380,4,1,1,3,140.0,0,0,1,0,1,0,0,0,1,41301
381,4,1,1,2,120.0,0,1,0,0,1,0,0,0,1,41709
382,1,1,1,1,61.455356004131175,0,0,1,1,0,0,0,0,0,41720
